experiment,learning_rate,batch_size,dropout,accuracy,precision,recall,f1_score,training_time_seconds,epochs_trained
A,0.001,16,0.4,0.9261285909712722,0.8931116389548693,0.9766233766233766,0.9330024813895782,,
B,0.0005,16,0.4,0.9343365253077975,0.9181141439205955,0.961038961038961,0.9390862944162437,420.02,12
C,0.001,32,0.4,0.9261285909712722,0.8968824940047961,0.9714285714285714,0.9326683291770573,304.98,12
D,0.001,16,0.5,0.9192886456908345,0.8899521531100478,0.9662337662337662,0.9265255292652553,63.62,12
